dip_cm,liters,increment_per_mm
0.5,4.47,
1.0,12.64,1.63
1.5,23.21,2.11
2.0,35.72,2.50
2.5,49.88,2.83
3.0,65.52,3.13
3.5,82.50,3.40
4.0,100.73,3.65
4.5,120.10,3.87
5.0,140.56,4.09
5.5,162.03,4.29
6.0,184.49,4.49
6.5,207.86,4.67
7.0,232.12,4.85
7.5,257.24,5.02
8.0,283.17,5.19
8.5,309.88,5.34
9.0,337.36,5.50
9.5,365.58,5.64
10.0,394.52,5.79
10.5,424.14,5.92
11.0,454.44,6.06
11.5,485.40,6.19
12.0,516.99,6.32
12.5,549.21,6.44
13.0,582.04,6.57
13.5,615.45,6.68
14.0,649.45,6.80
14.5,684.01,6.91
15.0,719.13,7.02
15.5,754.79,7.13
16.0,790.98,7.24
16.5,827.69,7.34
17.0,864.90,7.44
17.5,902.62,7.54
18.0,940.83,7.64
18.5,979.52,7.74
19.0,1018.69,7.83
19.5,1058.31,7.92
20.0,1098.40,8.02
20.5,1138.93,8.11
21.0,1179.90,8.19
21.5,1221.30,8.28
22.0,1263.13,8.37
22.5,1305.38,8.45
23.0,1348.04,8.53
23.5,1391.10,8.61
24.0,1434.57,8.69
24.5,1478.43,8.77
25.0,1552.67,14.85
25.5,1567.29,2.92
26.0,1612.29,9.00
26.5,1657.66,9.07
27.0,1703.41,9.15
27.5,1749.49,9.22
28.0,1795.94,9.29
28.5,1842.73,9.36
29.0,1889.87,9.43
29.5,1937.35,9.50
30.0,1985.16,9.56
30.5,2033.30,9.63
31.0,2081.76,9.69
31.5,2130.55,9.76
32.0,2179.65,9.82
32.5,2229.06,9.88
33.0,2278.78,9.94
33.5,2328.80,10.00
34.0,2379.12,10.06
34.5,2429.74,10.12
35.0,2480.65,10.18
35.5,2531.84,10.24
36.0,2583.32,10.30
36.5,2635.08,10.35
37.0,2687.12,10.41
37.5,2739.42,10.46
38.0,2792.00,10.52
38.5,2844.84,10.57
39.0,2897.95,10.62
39.5,2951.31,10.67
40.0,3004.92,10.72
40.5,3058.79,10.77
41.0,3112.91,10.82
41.5,3167.28,10.87
42.0,3221.88,10.92
42.5,3276.73,10.97
43.0,3331.81,11.02
43.5,3387.12,11.06
44.0,3442.67,11.11
44.5,3498.44,11.15
45.0,3554.43,11.20
45.5,3610.65,11.24
46.0,3667.08,11.29
46.5,3723.73,11.33
47.0,3780.60,11.37
47.5,3837.67,11.41
48.0,3894.95,11.45
48.5,3952.43,11.50
49.0,4010.12,11.54
49.5,4068.01,11.58
50.0,4126.09,11.62
50.5,4184.37,11.66
51.0,4242.83,11.69
51.5,4301.49,11.73
52.0,4360.33,11.77
52.5,4419.36,11.81
53.0,4478.57,11.84
53.5,4537.95,11.88
54.0,4597.52,11.91
54.5,4657.25,11.95
55.0,4717.16,11.98
55.5,4777.24,12.02
56.0,4837.48,12.05
56.5,4897.89,12.08
57.0,4958.46,12.11
57.5,5019.20,12.15
58.0,5080.09,12.18
58.5,5141.13,12.21
59.0,5202.33,12.24
59.5,5263.68,12.27
60.0,5325.18,12.30
60.5,5386.82,12.33
61.0,5448.61,12.36
61.5,5510.54,12.39
62.0,5572.61,12.41
62.5,5634.82,12.44
63.0,5697.17,12.47
63.5,5759.64,12.49
64.0,5822.26,12.52
64.5,5885.00,12.55
65.0,5947.86,12.57
65.5,6010.86,12.60
66.0,6073.97,12.62
66.5,6137.21,12.65
67.0,6200.57,12.67
67.5,6264.04,12.69
68.0,6327.63,12.72
68.5,6391.34,12.74
69.0,6455.15,12.76
69.5,6519.08,12.79
70.0,6583.11,12.81
70.5,6647.25,12.83
71.0,6711.49,12.85
71.5,6775.83,12.87
72.0,6840.28,12.89
72.5,6904.82,12.91
73.0,6969.46,12.93
73.5,7034.19,12.95
74.0,7099.01,12.96
74.5,7163.93,12.98
75.0,7228.93,13.00
75.5,7294.02,13.02
76.0,7359.19,13.03
76.5,7424.45,13.05
77.0,7489.79,13.07
77.5,7555.21,13.08
78.0,7620.71,13.10
78.5,7686.28,13.11
79.0,7751.92,13.13
79.5,7817.64,13.14
80.0,7883.43,13.16
80.5,7949.29,13.17
81.0,8015.21,13.18
81.5,8081.20,13.20
82.0,8147.25,13.21
82.5,8213.36,13.22
83.0,8279.54,13.24
83.5,8345.77,13.25
84.0,8412.05,13.26
84.5,8478.39,13.27
85.0,8544.79,13.28
85.5,8611.23,13.29
86.0,8677.73,13.30
86.5,8744.27,13.31
87.0,8810.86,13.32
87.5,8877.49,13.33
88.0,8944.16,13.33
88.5,9010.88,13.34
89.0,9077.63,13.35
89.5,9144.42,13.36
90.0,9211.25,13.37
90.5,9278.11,13.37
91.0,9345.00,13.38
91.5,9411.92,13.38
92.0,9478.87,13.39
92.5,9545.85,13.40
93.0,9612.85,13.40
93.5,9679.88,13.41
94.0,9814.00,13.41
94.5,9881.09,13.42
95.0,9948.19,13.42
95.5,10015.31,13.42
96.0,10082.45,13.43
96.5,10149.59,13.43
97.0,10216.74,13.43
97.5,10283.91,13.43
98.0,10351.08,13.43
98.5,10418.25,13.43
99.0,10485.43,13.44
99.5,10552.61,13.44
100.0,10619.79,13.44
100.5,10686.97,13.44
101.0,10754.14,13.43
101.5,10821.31,13.43
102.0,10888.47,13.43
102.5,10955.63,13.43
103.0,11022.77,13.43
103.5,11089.91,13.43
104.0,11157.03,13.43
104.5,11224.13,13.42
105.0,11291.22,13.42
105.5,11358.29,13.41
106.0,11425.33,13.41
106.5,11492.36,13.40
107.0,11559.36,13.40
107.5,11626.34,13.40
108.0,11693.29,13.39
108.5,11760.22,13.39
109.0,11827.11,13.38
109.5,11893.97,13.37
110.0,11960.79,13.36
110.5,12027.58,13.36
111.0,12094.34,13.35
111.5,12161.05,13.34
112.0,12227.73,13.34
112.5,12294.36,13.33
113.0,12360.94,13.32
113.5,12447.47,13.31
114.0,12493.98,13.30
114.5,12560.43,13.29
115.0,12626.82,13.28
115.5,12693.16,13.27
116.0,12759.45,13.26
116.5,12825.68,13.25
117.0,12891.85,13.23
117.5,12957.97,13.22
118.0,13024.02,13.21
118.5,13090.01,13.20
119.0,13155.93,13.18
119.5,13221.79,13.17
120.0,13287.57,13.16
120.5,13353.29,13.14
121.0,13418.94,13.13
121.5,13484.51,13.11
122.0,13550.01,13.10
122.5,13615.42,13.08
123.0,13680.76,13.07
123.5,13746.02,13.05
124.0,13811.19,13.03
124.5,13876.28,13.02
125.0,13941.29,13.00
125.5,14006.20,12.98
126.0,14071.03,12.97
126.5,14135.76,12.95
127.0,14200.40,12.93
127.5,14264.94,12.91
128.0,14329.38,12.89
128.5,14393.72,12.87
129.0,14457.97,12.85
129.5,14522.10,12.83
130.0,14586.14,12.81
130.5,14650.06,12.78
131.0,14713.88,12.76
131.5,14777.58,12.74
132.0,14841.17,12.72
132.5,14904.65,12.70
133.0,14968.00,12.67
133.5,15031.24,12.65
134.0,15094.36,12.62
134.5,15157.35,12.60
135.0,15220.22,12.57
135.5,15282.96,12.55
136.0,15345.57,12.52
136.5,15408.05,12.50
137.0,15470.39,12.47
137.5,15532.60,12.44
138.0,15594.67,12.41
138.5,15656.61,12.39
139.0,15718.39,12.36
139.5,15780.04,12.33
140.0,15841.54,12.30
140.5,15902.89,12.27
141.0,15964.08,12.24
141.5,16025.13,12.21
142.0,16086.02,12.18
142.5,16146.75,12.15
143.0,16207.32,12.11
143.5,16267.73,12.08
144.0,16327.98,12.05
144.5,16388.05,12.01
145.0,16447.96,11.98
145.5,16507.70,11.95
146.0,16567.26,11.91
146.5,16626.65,11.88
147.0,16685.86,11.84
147.5,16744.88,11.80
148.0,16803.73,11.77
148.5,16862.38,11.73
149.0,16920.85,11.69
149.5,16979.13,11.66
150.0,17037.21,11.62
150.5,17095.09,11.58
151.0,17152.78,11.54
151.5,17210.26,11.50
152.0,17267.54,11.46
152.5,17324.62,11.42
153.0,17381.48,11.37
153.5,17438.13,11.33
154.0,17494.57,11.29
154.5,17550.78,11.24
155.0,17606.78,11.20
155.5,17662.55,11.15
156.0,17718.09,11.11
156.5,17773.41,11.06
157.0,17828.49,11.02
157.5,17883.33,10.97
158.0,17937.94,10.92
158.5,18046.42,10.82
159.0,17992.30,10.87
159.5,18046.42,10.82
160.0,18100.29,10.77
160.5,18153.91,10.72
161.0,18207.27,10.67
161.5,18260.37,10.62
162.0,18313.22,10.57
162.5,18365.79,10.51
163.0,18418.10,10.46
163.5,18470.13,10.41
164.0,18521.89,10.35
164.5,18573.37,10.30
165.0,18624.57,10.24
165.5,18675.47,10.18
166.0,18726.09,10.12
166.5,18776.41,10.06
167.0,18826.44,10.01
167.5,18876.16,9.94
168.0,18925.57,9.88
168.5,18974.67,9.82
169.0,19023.45,9.76
169.5,19071.92,9.69
170.0,19120.06,9.63
170.5,19167.87,9.56
171.0,19215.35,9.50
171.5,19262.48,9.43
172.0,19309.28,9.36
172.5,19355.72,9.29
173.0,19401.82,9.23
173.5,19447.55,9.15
174.0,19492.92,9.07
174.5,19537.92,9.00
175.0,19582.55,8.93
175.5,19626.79,8.85
176.0,19670.65,8.77
176.5,19714.11,8.69
177.0,19757.18,8.61
177.5,19799.84,8.53
178.0,19842.08,8.45
178.5,19883.91,8.37
179.0,19925.32,8.28
179.5,19966.29,8.19
180.0,20006.82,8.11
180.5,20046.90,8.02
181.0,20086.53,7.93
181.5,20125.69,7.83
182.0,20164.38,7.74
182.5,20202.59,7.64
183.0,20240.31,7.54
183.5,20277.53,7.44
184.0,20314.24,7.34
184.5,20350.43,7.24
185.0,20386.09,7.13
185.5,20421.20,7.02
186.0,20455.76,6.91
186.5,20489.80,6.80
187.0,20523.16,6.68
187.5,20556.00,6.56
188.0,20588.22,6.44
188.5,20619.82,6.32
189.0,20650.77,6.19
189.5,20681.07,6.06
190.0,20710.70,5.93
190.5,20739.63,5.79
191.0,20767.85,5.64
191.5,20795.33,5.50
192.0,20822.05,5.34
192.5,20847.98,5.19
193.0,20873.09,5.02
193.5,20897.35,4.85
194.0,20920.73,4.68
194.5,20943.18,4.49
195.0,20964.66,4.30
195.5,20985.11,4.09
196.0,21004.49,3.88
196.5,21022.71,3.64
197.0,21039.69,3.40
197.5,21055.33,3.13
198.0,21069.50,2.83
198.5,21082.00,2.50
199.0,21092.57,2.11
199.5,21100.74,1.63
200.0,21105.22,0.90
